check,pass,detail
LaTeX row terminator table_s9_calendar_scaling_v21.tex:6,True,5 & MZ option & 0.301 & 0.294 & -0.007 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:7,True,5 & HAR(4) & 0.114 & 0.114 & 0.000 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:8,True,5 & HAR+option+term & 0.254 & 0.251 & -0.003 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:10,True,22 & Raw option & 0.184 & 0.178 & -0.006 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:11,True,22 & MZ option & 0.179 & 0.178 & -0.002 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:12,True,22 & HAR(4) & 0.142 & 0.142 & 0.000 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:13,True,22 & HAR+option+term & 0.192 & 0.190 & -0.002 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:15,True,66 & Raw option & -0.204 & -0.205 & -0.001 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:16,True,66 & MZ option & 0.063 & 0.063 & -0.000 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:17,True,66 & HAR(4) & 0.025 & 0.025 & 0.000 \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:18,True,66 & HAR+option+term & 0.059 & 0.058 & -0.001 \\
Table 2 reports delta R2,True,
artifact exists manuscript_anonymous.pdf,True,1184331
artifact exists manuscript_anonymous.docx,True,974340
artifact exists manuscript_named.pdf,True,1185052
artifact exists manuscript_named.docx,True,974900
artifact exists supplement.pdf,True,54735
artifact exists supplement.docx,True,16234
artifact exists title_page.pdf,True,30906
artifact exists title_page.docx,True,10345
artifact exists cover_letter.pdf,True,30980
artifact exists cover_letter.docx,True,10994
artifact exists response_to_reviewers.pdf,True,41212
artifact exists response_to_reviewers.docx,True,13441
anonymous PDF lacks Kartikay,True,
anonymous PDF lacks Goyle,True,
anonymous PDF lacks Yevgen,True,
anonymous PDF lacks Revtsov,True,
anonymous PDF lacks goylekar,True,
anonymous PDF lacks yrevtsov,True,
anonymous PDF contains QLIKE qualification,True,
existing clean-room run detected,True,/mnt/data/LETF_V2_1_FULL_VERIFIED_PROJECT/verification_v21/clean_run_v21
clean run produced alternative_loss_tests_v21.csv,True,
clean shape alternative_loss_tests_v21.csv,True,"(45, 15) vs (45, 15)"
